Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total ether sent,ERC20 total Ether sent contract,ERC20 uniq sent addr,ERC20 uniq rec addr,ERC20 uniq rec contract addr,ERC20 min val rec,ERC20 uniq sent token name,FLAG
379.78,56424.63,339687.12,3,6,0,6,1,0.0,1.515068,0.888941,4.5,4.5,4.5,9,13.5,5.3336489999999985,-8.166350999999999,13.0,53070.89588,0.0,0.0,0.0,10.0,13.0,0.0,0.0,0
164.22,0.0,328.45,2,1,0,1,2,101.0,101.0,101.0,1.335323,99.663651,50.499487,3,100.9989738,101.0,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
803.95,112925.21,340383.53,2,3,0,2,2,0.0,6.995,2.333333,6.955496000000001,6.956,6.955748,5,13.911496,7.0,-6.9114960000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18649.44,15420.31,266825.07,11,4,0,3,6,0.195,4.0,1.67375,0.0,1.9,0.759219,15,8.351405032999999,6.695,-1.6564050330000002,4.0,148.7699492,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0
65.85,32.24,204236.48,2217,1807,0,1471,1205,0.0,799.99874,18.736369,0.0,1100.0,15.276167,4024,33867.26324,33856.6182,-10.64504551,5.0,4195.406065,4193.352,0.0,1.0,3.0,3.0,1.0,1.0,0
181.7,56819.72,286279.03,12,5,0,5,7,0.0,174.995,63.085,0.1,225.0,59.51666700000001,17,714.2,315.425,-398.775,11.0,255.2313319,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0
23359.72,27049.27,1169229.5,35,13,0,6,23,0.0,972.434,182.498725,0.0,500.0,85.766674,48,3001.833603,2372.483424,-629.3501786,20.0,95357.7025,96084.93585,0.0,8.0,9.0,11.0,0.0,6.0,0
20827.93,0.0,186707.1,8,1,0,1,2,10.0,10.0,10.0,1.621938,26.0,12.688992,9,101.5119377,10.0,-91.51193767,1.0,0.031819385,0.0,0.0,0.0,1.0,1.0,0.031819,0.0,0
4183.18,1470.01,962956.75,181,140,0,57,103,0.0731,117.7,4.007761,0.0,240.0,3.288313,321,595.1846,561.0865,-34.0981,135.0,2447415.911,2345018.342,0.0,34.0,51.0,65.0,0.0,25.0,0
76.32,74.96,754216.92,3424,6576,2,4848,1129,3.8e-05,12867.39971,21.959042,0.0,9000.0,43.26697,10002,148146.1047,144402.6609,-3743.443847,579.0,3129376351.0,18694925.79,0.0,137.0,135.0,87.0,0.0,7.0,0
0.0,0.0,2.5,1,1,0,1,1,0.8548709999999999,0.8548709999999999,0.8548709999999999,0.8538209999999999,0.8538209999999999,0.8538209999999999,2,0.85382138,0.85487138,0.00105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22.94,14237.49,242427.3,17,17,0,1,1,0.017319,0.125315,0.050856,0.002319,0.121958,0.047446,34,0.80657981,0.86455069,0.05797088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7750.02,59605.36,531093.05,7,8,0,2,5,0.545459,27.48646,6.1445940000000006,0.0,5.693,1.013286,15,7.093,49.1567487,42.06374870000001,18.0,2640.39347,424.4909721,0.0,2.0,12.0,15.0,0.0,2.0,0
621.07,5012.75,93911.63,14,17,4,9,10,0.5,379.0,39.759632,0.0,330.62347,48.273105,35,675.82347,675.9137486000002,0.090278633,3.0,0.002407524,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0
13243.1,38530.77,414518.23,9,8,0,5,6,0.0,1.169147,0.270796,0.0,1.716638,0.421015,17,3.789138127,2.16637118,-1.622766947,19.0,320.9921798,6.15e-08,0.0,1.0,5.0,5.0,0.0,1.0,0
5815.7,845.41,1040169.4,30,1024,0,1,30,0.20001,2.1578880000000003,0.24501,5.0508510000000015,13.321637,6.696126,1054,200.883777,250.89045640000003,50.00667943,15.0,3632.662868,0.0,0.0,0.0,11.0,15.0,0.0,0.0,0
1905.13,728.9,240610.1,124,6,0,4,8,0.5,69.995,12.769696,0.0,74.0,0.647486,130,80.28824888,76.61817535,-3.670073533,8.0,1016.953872,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0
24.63,3319.39,10032.05,3,3,0,3,1,0.04,10.805,5.281667,0.038953,10.80458,5.281031,6,15.84309204,15.845,0.001907957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59.56,24076.63,120621.38,4,5,0,2,2,0.001,0.669937,0.173506,0.00074,0.668866,0.21567,9,0.86268094,0.86753194,0.0048509999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56814.86,62086.18,294616.95,3,2,0,2,3,0.0,20.0,10.0,4.952493,19.953375,13.301956,5,39.90586873,20.0,-19.90586873,2.0,3.615281187,0.0,0.0,0.0,2.0,2.0,1.503014,0.0,0
2.23,0.0,8.92,4,2,0,2,4,103.561873,1897.438127,1000.5,0.001078,1501.447643,500.249528,6,2000.998113,2001.0,0.001886545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1466.39,44699.56,321695.25,6,7,0,5,2,0.0,23.601366,10.936062,0.0,49.999365,15.753561,13,94.52136494,76.5524362,-17.96892874,3.0,2000.0,2000.0,0.0,1.0,1.0,1.0,2000.0,1.0,0
25905.07,1129.25,161076.67,6,5,0,1,2,0.099,27.517666,13.701916,0.002079,27.516406,11.41756,11,68.50535928,68.50958028,0.004221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3834.85,2945.2,620113.1,121,53,0,18,63,0.0,44.425356,7.878402,0.0,52.0,3.5717830000000004,174,432.1857424,417.5553096,-14.6304328,91.0,635003.3331,603909.4009,0.0,14.0,32.0,35.0,0.0,22.0,0
21466.84,20051.27,674198.88,23,9,0,5,11,0.0,20.095,6.755565,0.0,19.0,4.835781,32,111.2229715,60.80008333,-50.42288815,11.0,440.5877629,1.5e-08,0.0,1.0,6.0,10.0,0.0,1.0,0
248.61,17068.13,611682.27,1156,19,0,9,72,0.0,600.98832,72.622476,0.0,500.0,1.206055,1175,1394.199349,1379.827042,-14.37230628,559.0,22892.27349,21687.16163,0.0,8.0,19.0,14.0,0.0,4.0,0
10154.24,5026.86,1009090.55,87,25,0,10,41,0.0,40.136798,10.501527,0.0,48.0,3.933071,112,342.1772031000001,262.5381628,-79.63904036,70.0,132059.1029,98179.89698,0.0,15.0,24.0,30.0,0.0,11.0,0
20.41,0.0,102.07,5,1,0,1,4,101.0,101.0,101.0,0.2,69.15464200000001,20.199496,6,100.99748,101.0,0.00252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,8831.65,291444.58,0,33,1,5,0,0.0,23.462797,1.402192,0.0,0.0,0.0,34,0.0,46.27232361,46.27232361,1.0,0.527787122,0.0,0.0,0.0,1.0,1.0,0.527787,0.0,0
0.0,0.0,169.87,1,1,0,1,1,0.4494770000000001,0.4494770000000001,0.4494770000000001,0.447277,0.447277,0.447277,2,0.44727692,0.44947692,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
408.32,170321.78,341868.53,3,2,0,2,2,0.0,0.46,0.23,0.041,0.4,0.280059,5,0.8401762740000001,0.46,-0.380176274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5801.32,3041.25,614761.98,85,40,0,10,24,0.060587,200.0,18.64848,0.0,100.0,8.995439,125,764.6123200000002,745.9391851,-18.67313494,24.0,52442.27417,46941.50389,0.0,2.0,16.0,20.0,0.0,2.0,0
3.6,0.0,10.8,3,2,0,2,3,437.787303,1563.2126970000004,1000.5,8.511289999999999,1516.455268,666.999528,5,2000.998585,2001.0,0.001414909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,7.53,1,1,0,1,1,1.0,1.0,1.0,0.996747,0.996747,0.996747,2,0.99674689,1.0,0.00325311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13.67,40512.33,688942.0,17,17,0,5,3,0.01,69.995,12.28744,0.009515,69.994563,12.28679,34,208.8754299,208.8864824,0.011052491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
129.61,26178.65,288353.97,3,11,0,5,2,0.0,249.812075,32.977228000000004,10.0,359.0,240.576616,14,721.7298479,362.7495057,-358.9803421000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,31.28,1,1,0,1,1,0.732876,0.732876,0.732876,0.7316159999999999,0.7316159999999999,0.7316159999999999,2,0.7316159999999999,0.732876,0.00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.88,0.42,18.47,3,2,0,2,3,560.184406,1440.815594,1000.5,0.6064,1478.589443,666.999528,5,2000.998585,2001.0,0.001414909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21.65,0.0,64.95,3,1,0,1,3,101.0,101.0,101.0,1.093799,72.122019,33.666149,4,100.998446,101.0,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31239.32,984.92,251884.43,8,2,0,2,4,1.0,2.0,1.5,0.0,2.0,0.34,10,2.72,3.0,0.28,11.0,18084.16229,9499.0,0.0,1.0,6.0,8.0,0.0,1.0,0
997.32,84555.41,342210.95,4,4,0,3,3,0.0,2.995,1.31125,2.2,2.983505,2.591529,8,10.36611622,5.245,-5.121116224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.62,0.0,10.87,3,2,0,2,3,437.511331,1563.4886689999996,1000.5,2.000775,1948.785673,666.999528,5,2000.998585,2001.0,0.001414909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15.48,0.0,46.45,3,1,0,1,3,101.0,101.0,101.0,9.999496,64.618386,33.666149,4,100.998446,101.0,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
161.67,0.04,323.42,2,2,0,2,2,24.612212,76.387788,50.5,2.4845,98.514516,50.499508,4,100.9990158,101.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.05,0.0,20.18,4,2,0,2,3,497.549392,1503.450608,1000.5,1.0,1423.0022720000004,500.249528,6,2000.998113,2001.0,0.001886545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
157.32,0.0,314.65,2,1,0,1,2,101.0,101.0,101.0,1.041843,99.957172,50.499508,3,100.9990158,101.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36.98,0.0,73.97,2,1,0,1,2,30.0,30.0,30.0,10.673034,19.325958,14.999496,3,29.998992,30.0,0.001008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.21,0.38,10.38,3,2,0,2,3,908.853504,1092.146496,1000.5,0.100592,1366.387436,666.999528,5,2000.998585,2001.0,0.001414909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
108.58,0.82,327.37,3,2,0,2,3,46.981604,54.018396,50.5,4.0,66.74956999999999,33.666165,5,100.9984936,101.0,0.001506437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,2336.51,228977.53,0,98,1,3,0,0.0,1.169411,0.9501,0.0,0.0,0.0,99,0.0,93.10979582,93.10979582,1.0,2.010660203,0.0,0.0,0.0,1.0,1.0,2.01066,0.0,0
26.4,620.61,138977.15,163,217,0,5,2,0.261456,820.0,314.639235,24.49958,8557.988572,418.874903,380,68276.60921000001,68276.71402,0.104811001,1.0,600.0,0.0,0.0,0.0,1.0,1.0,600.0,0.0,0
3500.97,14465.72,816620.55,6,55,0,1,4,0.01,1.001431,0.46172,0.27,6.0,2.128333,61,12.77,25.39458564,12.62458564,11.0,961.7267601,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0
2809.83,3186.72,376480.78,58,67,0,12,32,0.0,49.477281,8.303953,0.0,222.627319,9.990969,125,579.4761972,556.364853,-23.1113442,46.0,128960.5576,127086.9274,0.0,13.0,17.0,20.0,0.0,13.0,0
1396.24,1470.58,1150335.93,213,580,0,8,132,0.009918,1.00563,0.316584,0.0005,6.6,0.8604860000000001,793,183.2834952,183.6186244,0.335129226,8.0,661.7509098999999,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0
0.0,1426.21,226766.85,0,159,1,5,0,0.0,1.021547,0.91998,0.0,0.0,0.0,160,0.0,146.2768721,146.2768721,2.0,2.443222682,0.0,0.0,0.0,2.0,2.0,1.059583,0.0,0
24.47,0.0,73.42,3,2,0,2,3,29.231127,71.768873,50.5,2.0,75.450249,33.666159,5,100.998477,101.0,0.001523001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.13,3733.57,127115.7,34,34,0,1,34,0.103256,1.000945,0.385352,0.102815,1.000504,0.384883,68,13.086019699999998,13.10198159,0.015961896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,27224.25,353915.25,0,13,1,5,0,0.452055,3.80983,1.33857,0.0,0.0,0.0,14,0.0,17.40140661,17.40140661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24.86,0.23,75.03,3,2,0,2,3,39.560242,61.439758,50.5,5.836762,53.027954,33.666163,5,100.998488,101.0,0.001512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20.87,0.0,62.6,3,1,0,1,3,101.0,101.0,101.0,1.202016,97.337759,33.666149,4,100.998446,101.0,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,37680.11,301482.83,7,8,0,4,1,0.11,58.75344499999999,9.842931,0.129412,58.75575300000001,11.24715,15,78.73005157,78.74344479,0.01339322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
155.16,0.0,310.32,2,1,0,1,2,101.0,101.0,101.0,0.2,100.799016,50.499508,3,100.9990158,101.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13.6,0.0,40.8,3,1,0,1,3,101.0,101.0,101.0,0.05,54.580682,33.666149,4,100.998446,101.0,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
364.17,230.02,376485.87,682,557,0,554,170,0.019415,49.749538,1.220148,0.006532,18.230356,0.995851,1239,679.1706318,679.6224223999999,0.45179059,1.0,7.566596724,0.0,0.0,0.0,1.0,1.0,7.566597,0.0,0
1.97,1332.65,2669.23,2,2,0,2,1,53.995,538.205,296.1,53.994443,538.204468,296.0994560000001,4,592.1989110000002,592.2,0.001088977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8197.19,3055.47,946931.97,98,47,0,18,40,0.0,153.99,20.405141,0.0,200.0,11.861401,145,1162.4172529999996,959.0416393,-203.3756139,111.0,893275.1803,893227.0201,0.0,20.0,27.0,31.0,0.0,16.0,0
0.0,0.0,13.88,1,1,0,1,1,4.995,4.995,4.995,4.98,4.98,4.98,2,4.98,4.995,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.97,0.0,5.9,3,2,0,2,3,439.322618,1561.677382,1000.5,1.3716,1891.665334,666.9993900000002,5,2000.998169,2001.0,0.001830667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
161.06,0.63,323.38,2,2,0,2,2,11.072192,89.927808,50.5,2.660313,98.338703,50.499508,4,100.9990158,101.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.95,123984.24,743941.13,6,6,0,5,2,2.802,8.58,5.843667,2.800476,8.575714999999999,5.84204,12,35.05224153,35.062,0.00975847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
93612.1,10060.62,992074.2,2,80,0,3,1,0.0003,0.133269,0.098978,0.078168,7.838697,3.958433,82,7.916865339,7.918215339,0.00135,1.0,0.590491666,0.0,0.0,0.0,1.0,1.0,0.590492,0.0,0
5.66,16246.22,178770.6,11,11,0,11,1,0.375549,2.29385,1.018111,0.375314,2.29327,1.017056,22,11.18761414,11.19922425,0.01161011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72100.0,10243.09,1019244.7,13,8,0,4,8,0.1,306.0,131.189784,0.0,600.0,80.696,21,1049.048,1049.518271,0.47027113,23.0,25663.33033,5836.970119,0.0,1.0,16.0,20.0,0.0,1.0,0
163.02,0.94,327.92,2,2,0,2,2,32.780812,68.219188,50.5,0.001982,100.997034,50.499508,4,100.9990158,101.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
162.38,0.63,326.03,2,2,0,2,2,48.19835,52.80165,50.5,0.005731,100.993285,50.499508,4,100.9990158,101.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,19247.54,250218.08,0,13,1,4,0,0.0,1.000578,0.452745,0.0,0.0,0.0,14,0.0,5.88569015,5.88569015,2.0,0.707816805,0.0,0.0,0.0,2.0,2.0,0.150693,0.0,0
159.83,0.92,321.5,2,2,0,2,2,14.242353,86.75764699999998,50.5,2.0,98.999016,50.499508,4,100.9990158,101.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22.05,21.34,232149.93,8901,7835,0,189,650,0.000572,8770.13158,3647.937469,0.001,8770.13158,3210.983135,16736,28580960.89,28581590.07,629.1782661000002,30.0,7790615.1510000015,0.0,0.0,0.0,25.0,29.0,0.0,0.0,0
0.0,0.0,2259.65,1,1,0,1,1,12.123629,12.123629,12.123629,12.123009,12.123009,12.123009,2,12.12300879,12.12362879,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
160.19,0.15,320.68,2,2,0,2,2,36.096668,64.90333199999999,50.5,1.0,99.999016,50.499508,4,100.9990158,101.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,4097.93,192602.83,0,47,1,5,0,0.0,52.4624,11.885895,0.0,0.0,0.0,48,0.0,558.6370505,558.6370505,2.0,5.761324514,0.0,0.0,0.0,2.0,2.0,0.900874,0.0,0
152.67,0.0,305.33,2,1,0,1,2,101.0,101.0,101.0,5.0,95.998571,50.499286,3,100.9985715,101.0,0.001428506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,20.93,1,1,0,1,1,2.39451,2.39451,2.39451,2.394006,2.394006,2.394006,2,2.39400649,2.39451049,0.000504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22.91,0.0,68.72,3,1,0,1,3,101.0,101.0,101.0,0.11005,50.841333,33.666149,4,100.998446,101.0,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.38,2935.83,205942.0,68,70,0,70,68,0.043146,14.583474,2.018109,0.042726,14.583054,2.077035,138,141.23839109999997,141.2676352,0.029244115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.32,1,1,0,1,1,0.70724,0.70724,0.70724,0.7064,0.7064,0.7064,2,0.70640002,0.70724002,0.00084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
162.63,0.43,326.13,2,2,0,2,2,21.595231,79.40476899999999,50.5,0.22,100.779016,50.499508,4,100.9990158,101.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71.83,27.81,511631.95,5304,4698,0,333,2525,0.0,7000.0,81.983698,0.001,35000.0,214.505344,10002,1137736.345,385159.4122,-752576.9329,5.0,1082.047004,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0
3.59,0.0,10.78,3,2,0,2,3,521.161647,1479.838353,1000.5,4.07,1969.741783,666.999528,5,2000.998585,2001.0,0.001414909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.18,20470.41,81986.35,4,4,0,2,1,1.372664,9.5925,6.236932,1.36962,9.593926,6.23386,8,24.93543903,24.94772779,0.01228876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
159.52,0.0,319.03,2,1,0,1,2,101.0,101.0,101.0,0.461097,100.537919,50.499508,3,100.9990158,101.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2411.88,84822.03,365818.75,11,4,0,3,6,0.0138229999999999,1.161912,0.31883,0.0,0.8,0.112727,15,1.23999768,1.27532199,0.03532431,12.0,463.449346,463.449346,0.0,4.0,2.0,4.0,0.0,4.0,0
